,video_id,popularity,title_length,nation
529,3adHok6ytJI,27,79,GB
530,EGV9Ms9EHcg,27,61,US
531,m6qubM54PtE,27,59,GB
532,p03TIGqEc8o,27,74,GB
533,817P8W8-mGE,27,57,GB
534,cHB_s970Uyw,27,50,GB
535,X8sSXU-J8fI,27,46,GB
536,iPf_ifCKftc,26,60,GB
537,JNyZ49q4vrU,26,20,US
538,H08xgoXkpa8,26,97,GB
539,D2mjQP8cmYA,26,58,GB
540,p5N6tFob_Rw,26,13,GB
541,6OcOO1k-vGE,26,63,GB
542,nFpEuUY-zQ0,26,90,GB
543,tYDmvYhQ6wI,26,81,GB
544,oSEeK9yDNQI,26,43,US
545,8B2esiq24Hg,26,62,GB
546,eljAjPH6zQI,26,33,GB
547,96oKlWv5wSo,26,51,US
548,qtTM2YV3bI8,26,37,GB
549,wzKL-bQKcgA,26,81,GB
550,92RkVMMvgAU,26,78,GB
551,DSRSgMp5X1w,26,76,GB
552,KjHan6D3O3g,26,69,GB
553,NMFnVfsNf5Y,26,63,GB
554,WapBwuNtUzQ,26,30,GB
555,4_aR3HqFrr0,26,78,US
556,EFNeulNdfRI,26,43,GB
557,JFmkRNbDF70,26,93,GB
558,LsoLEjrDogU,26,61,GB
559,JZ2fRE_nkak,26,82,US
560,IX3_Aqji4yE,26,81,GB
561,pOEzjT-SED0,26,33,GB
562,CHXD9k19q1Y,26,21,GB
563,BQ_0QLL2gqI,26,67,GB
564,SQsPvrev_bQ,26,3,US
565,M4vnmgZLA8s,26,45,GB
566,coOKvrsmQiI,26,33,GB
567,AenmqoozqoA,26,90,GB
568,CZkUNPBlJIQ,26,30,GB
569,1PhPYr_9zRY,26,52,US
570,z4dH6hEMuwk,26,49,GB
571,BVRvrvCQdmg,26,32,GB
572,mzB1VGEGcSU,25,50,GB
573,i3cN9elJWvk,25,59,GB
574,7AXo-bYGXI4,25,42,GB
575,BidS_rcf7UU,25,40,GB
576,FvedKSaHCBQ,25,34,GB
577,6Y65fxIRs8Q,25,19,GB
578,0l35jAGQPOI,25,28,US
579,U4fErC9skHE,25,58,GB
580,CPjWgk0UXps,25,43,US
581,UfR5dKcKJvY,25,54,GB
582,rplCCSqWXIY,25,68,GB
583,cq6wjjN73Q0,25,34,GB
584,UaAHl_m_ybk,25,43,GB
585,LFhT6H6pRWg,25,37,GB
586,cIQKKzZtWwQ,25,26,GB
587,af6L1jBZGYA,25,72,GB
588,HtNWc1AIU20,25,71,GB
589,Ff7wbSwTuEk,25,32,GB
590,sGIm0-dQd8M,25,35,GB
591,S_1SwS7Jj-Y,25,52,GB
592,E4c7EE8_IX0,25,15,GB
593,1Nu_oGucpDI,25,34,GB
594,dm6ZSfE5muc,25,42,GB
595,gegW-vR_UHo,25,42,GB
596,wa5eXqjEewE,25,38,GB
597,h3umdwK-oPs,25,59,US
598,5uXsCaakZD8,25,26,GB
599,zVc-K1kKkVk,25,19,GB
600,7Usr96nwjqI,25,28,GB
601,TxY10VhmLR4,25,56,GB
602,VQhIUzPJi8o,25,34,GB
603,r8FQ5wUYm9c,25,39,GB
604,O02MnrL_wrc,25,42,GB
605,VTzD0jNdrmo,25,52,GB
606,Zg165-mZ7x8,25,59,GB
607,exwdh57hGCI,25,64,GB
608,V0HCZ4YGqbw,25,30,GB
609,MUcBkpwnKcE,25,70,GB
610,oWjxSkJpxFU,25,26,GB
611,_zhR6d6LDzM,25,96,GB
612,0XElmYomloA,25,53,GB
613,_1LdMWlNYS4,24,41,US
614,AkCLxl3MzNA,24,52,US
615,iQp1_GfDhwQ,24,44,GB
616,2SJ0hgdciNE,24,70,GB
617,XkVwqEdYlNA,24,87,GB
618,7UoP9ABJXGE,24,39,US
619,_6lGaYh71g4,24,20,GB
620,rRzxEiBLQCA,24,22,GB
621,3XklsSF53pc,24,48,GB
622,Q5KmA3Xbmqo,24,45,US
623,ii3n7hYQOl4,24,59,GB
624,lYEj9snU838,24,62,GB
625,vn9mMeWcgoM,24,54,GB
626,0JcNT6jYGwI,24,31,GB
627,ziLWPlVN0MM,24,66,GB
628,EC5UCCnk59c,24,80,GB
629,Ev9rOA2Yjs0,24,37,GB
630,4oqvNR1o3Zo,24,76,US
631,liczsmUSMA4,24,33,GB
632,TdyllLZeviY,24,59,GB
633,RL1e5ZyVUkU,24,81,GB
634,YfOHh5mt9SM,24,68,GB
635,dbMtuJ1tZnc,24,48,GB
636,Duc3F700lgE,24,32,US
637,eVmxh5Uft0Y,24,29,GB
638,SJsvPv5Q_oY,24,14,GB
639,caCdf94Blfw,24,37,GB
640,p8XP7A7kvzM,24,51,GB
641,kTlv5_Bs8aw,24,53,GB
642,a8gzChJsvEo,24,51,GB
643,II-OP6vdMs8,24,62,GB
644,Z4b6BPaO944,24,76,GB
645,beb8zCGMsbI,24,59,US
646,CzmIrPvIzxk,24,33,GB
647,VA7Y_Psp5l4,24,28,GB
648,cpGA0azFdCs,24,46,US
649,OXVm3fhYsEo,24,58,US
650,gzVTDKK-EKM,24,57,GB
651,z6A2LHGx8_A,24,35,US
652,wI89nVn6LHk,24,73,US
653,dyBFAX4SDEc,24,98,GB
654,Of9GOMM9HPg,24,13,US
655,4HX6R88QZB0,24,32,US
656,nCWKrEA4FBw,24,37,GB
657,STEUAcTmXTg,24,32,GB
658,wswvNZveNHc,24,41,GB
659,o6XERmXsP-U,24,69,GB
660,hQW_9ws8OhA,23,49,US
661,54BVvP7zvDQ,23,57,GB
662,5qxqo2CQakA,23,24,GB
663,b_lULj6v804,23,44,GB
664,7Jz8wZbXuDA,23,60,GB
665,NZ74oFctP_g,23,67,GB
666,fmhbFFAFqRE,23,30,GB
667,66kn6Dcr12E,23,48,GB
668,o7iL2KzDh38,23,90,GB
669,M79o2UejYKo,23,26,US
670,au8QGTiPhEw,23,28,US
671,3N3c3ZX6hoM,23,32,GB
672,Bm8rz-llMhE,23,48,GB
673,Zh4c5IrllBg,23,63,GB
674,ljEjBIZ2qCQ,23,22,GB
675,1FJD7jZqZEk,23,51,US
676,NNJKWVmK-GM,23,91,GB
677,pWqef6cbwzI,23,27,GB
678,aKPz583WRpQ,23,57,GB
